TF1,DF1,TF2,DF2
71,49,2,2
58,44,0,0
40,32,1,1
43,36,0,0
47,18,4,4
31,29,0,0
304,135,0,0
58,38,18,14
14,6,21,7
53,34,0,0
31,20,0,0
58,53,0,0
56,50,0,0
66,44,2,1
95,40,0,0
83,72,0,0
43,37,0,0
74,68,4,4
40,30,15,12
60,43,40,22
19,11,26,15
11,9,806,511
28,12,823,555
0,0,1074,662
0,0,94,76
0,0,352,294
0,0,411,257
0,0,166,116
1,1,145,108
0,0,85,72
0,0,40,31
4,3,642,282
0,0,123,53
0,0,92,74
23,15,667,396
5,5,62,56
0,0,285,177
1,1,590,416
3,3,855,619
0,0,146,110
0,0,75,69
0,0,304,227
0,0,171,121
0,0,468,235
22,8,573,325
7,7,230,133
1,1,179,118
0,0,32,28
0,0,2094,1246
0,0,56,48
3,3,514,364
1,1,822,731
0,0,42,36
1,1,67,49
2,1,602,451
0,0,131,89
1,1,1194,799
22,14,1650,498
2,1,2551,1389
0,0,33,30
0,0,1129,756
0,0,186,133
0,0,2214,1291
0,0,1735,1014
0,0,1071,673
0,0,124,85
0,0,43,37
0,0,41,11
8,5,227,139
7,5,4092,1991
0,0,84,44
6,3,1294,468
0,0,1346,878
0,0,351,243
0,0,150,112
0,0,476,297
0,0,35,31
6,3,219,135
0,0,557,373
2,1,141,126
0,0,964,658
2,2,4098,2036
0,0,120,94
0,0,144,84
0,0,66,56
1,1,154,106
0,0,362,279
0,0,53,44
12,7,442,242
23,15,237,142
2,2,45,33
0,0,40,25
3,3,41,34
0,0,667,425
0,0,35,22
5,5,881,414
10,9,2779,1585
0,0,275,151
10,4,746,391
0,0,74,64
0,0,710,496
0,0,1311,732
5,5,256,147
1,1,253,154
24,18,59,46
37,24,4765,1915
73,39,5102,2487
0,0,46,45
35,34,0,0
84,58,0,0
66,38,3,3
38,32,0,0
31,10,4,4
67,62,0,0
41,37,0,0
26,14,12,10
64,33,13,10
32,28,15,11
48,36,20,16
101,81,0,0
127,80,0,0
38,32,1,1
58,28,27,16
36,29,2,1
48,29,3,3
42,29,0,0
90,61,1,1
45,21,16,12
5,5,26,15
413,145,0,0
67,62,0,0
46,37,2,2
378,198,25,12
25,21,1,1
61,39,0,0
63,46,1,1
32,26,0,0
63,23,6,4
42,38,0,0
44,40,0,0
121,81,13,2
57,21,0,0
61,46,0,0
27,19,1,1
40,34,0,0
37,26,45,25
34,21,1,1
37,18,1,1
32,27,1,1
67,50,0,0
103,95,0,0
56,49,0,0
48,33,0,0
84,43,0,0
39,33,0,0
33,18,0,0
34,15,0,0
49,29,0,0
33,24,0,0
46,30,0,0
210,99,1,1
42,23,5,2
87,77,0,0
102,78,0,0
115,32,3,3
80,72,0,0
71,54,0,0
34,26,5,5
79,50,5,5
46,45,0,0
62,58,0,0
46,38,0,0
73,60,0,0
215,148,0,0
31,29,0,0
48,37,0,0
40,22,0,0
109,56,60,47
59,54,0,0
67,46,0,0
49,46,0,0
75,39,53,18
150,96,95,68
43,41,0,0
87,69,50,44
77,38,28,20
117,65,91,38
66,41,0,0
46,12,31,9
41,35,27,22
30,4,1,1
41,26,1,1
38,36,0,0
109,50,30,20
24,14,14,9
48,30,0,0
111,78,7,6
68,31,37,20
143,68,19,12
23,13,15,9
37,17,12,7
34,27,1,1
485,29,1,1
36,11,8,3
68,25,10,7
68,53,0,0
57,31,25,13
40,38,0,0
33,29,0,0
39,26,13,7
53,13,5,3
50,34,14,11
91,63,0,0
44,33,30,20
160,89,52,42
43,22,17,10
44,32,0,0
105,27,2,2
192,161,1,1
29,14,18,12
286,199,0,0
75,52,0,0
47,36,0,0
39,29,0,0
109,94,0,0
31,21,2,1
54,22,26,13
33,32,0,0
165,93,0,0
61,50,0,0
31,21,13,9
54,52,0,0
42,41,0,0
43,19,320,176
68,12,43,6
20,14,45,27
61,33,8,6
4,4,30,21
91,70,0,0
20,15,11,7
41,34,0,0
36,14,0,0
49,29,71,39
46,40,0,0
27,21,0,0
85,50,2,2
41,38,0,0
29,13,42,22
62,38,2,2
63,37,0,0
84,31,46,19
64,55,0,0
26,19,14,10
23,15,14,10
60,47,0,0
12,10,40,36
366,67,26,21
91,55,0,0
44,39,0,0
34,33,1,1
33,26,0,0
130,49,9,8
39,31,0,0
97,47,0,0
70,53,0,0
59,30,3,1
35,30,0,0
97,86,50,41
59,46,2,2
173,79,8,5
28,18,16,8
61,49,1,1
30,21,0,0
22,15,7,6
125,60,0,0
67,55,1,1
76,61,0,0
18,12,13,10
78,50,111,78
54,45,0,0
57,53,0,0
29,27,0,0
173,53,36,24
64,28,1,1
39,15,7,5
48,40,0,0
105,70,0,0
104,44,1,1
64,46,0,0
462,215,209,95
21,13,9,6
46,36,0,0
5,3,1,1
69,44,0,0
45,23,0,0
49,31,0,0
68,51,37,21
31,23,2,2
24,11,7,7
38,24,0,0
52,45,0,0
33,29,0,0
37,10,0,0
29,23,5,4
43,36,12,12
44,33,6,4
29,21,14,6
50,3,11,1
44,35,0,0
90,83,1,1
57,29,2099,938
107,67,2,1
37,25,0,0
122,88,2,2
31,24,2,2
33,23,12,1
37,5,5,5
68,30,14,12
75,42,2,1
81,50,26,17
42,22,20,13
24,7,7,3
203,147,0,0
113,66,5,5
34,22,0,0
146,54,44,23
26,19,16,13
132,40,0,0
88,55,10,8
71,45,6,5
95,79,0,0
111,88,1,1
24,16,30,7
40,34,15,10
57,10,49,7
31,25,0,0
36,31,0,0
20,19,0,0
66,39,0,0
37,24,1,1
29,15,0,0
105,72,0,0
31,30,0,0
83,68,1,1
176,123,98,82
30,23,0,0
115,81,97,70
85,63,96,66
127,73,1,1
38,27,2,2
106,87,0,0
36,34,2,2
29,7,20,7
30,10,2,1
36,33,0,0
101,84,61,44
9,8,667,390
7,6,439,279
27,7,74,8
89,29,94,31
18,14,47,30
34,11,0,0
31,8,0,0
52,30,51,20
98,37,4,4
31,29,0,0
17,10,14,6
44,37,0,0
61,39,1,1
121,28,18,8
138,128,10,4
47,40,6,5
59,40,0,0
63,45,0,0
24,16,9,7
55,33,0,0
20,16,11,9
13,12,22,6
29,21,43,37
92,53,35,23
59,40,34,29
33,9,18,6
32,26,0,0
36,33,23,19
32,7,7,6
72,61,38,33
35,24,19,10
74,61,35,32
31,25,0,0
74,58,0,0
77,37,49,33
27,13,12,8
76,54,0,0
46,10,30,6
57,31,1,1
25,15,5,5
30,23,0,0
22,15,9,5
150,105,0,0
99,52,2,2
41,30,10,8
34,29,1,1
86,61,1,1
36,27,0,0
56,40,0,0
30,16,533,325
35,23,26,18
142,18,65,11
53,27,26,18
45,21,20,13
54,20,73,21
41,37,21,18
44,38,1,1
42,16,0,0
27,26,10,9
23,16,20,12
21,13,12,7
43,28,16,10
46,26,23,9
37,23,0,0
63,46,0,0
39,32,4,3
55,37,0,0
4,4,274,178
79,18,41,7
45,17,13,10
94,58,0,0
39,39,1,1
28,18,9,9
34,22,0,0
125,73,60,36
140,69,45,24
116,102,0,0
113,78,2,2
36,34,0,0
47,42,0,0
24,15,7,6
82,34,0,0
169,158,1,1
0,0,31,20
33,25,13,8
76,54,102,86
44,20,12,12
51,36,25,21
67,52,0,0
62,41,29,21
37,22,16,11
70,41,3,3
138,62,47,39
47,33,28,24
68,45,54,41
26,19,0,0
73,66,0,0
24,18,16,11
105,70,5,3
53,50,2,2
88,54,1,1
49,40,0,0
100,16,1,1
23,13,14,10
31,16,2,2
56,36,11,8
25,16,18,7
35,22,0,0
54,31,0,0
30,20,0,0
171,50,1,1
40,30,0,0
29,23,30,22
22,10,27,17
23,15,4,2
42,36,0,0
44,30,1,1
38,29,0,0
123,91,0,0
33,33,0,0
46,29,1,1
32,9,8,6
46,41,3,1
23,16,14,8
70,30,0,0
40,24,2,2
15,13,429,308
216,107,0,0
77,33,0,0
77,72,0,0
88,61,1,1
30,20,2,1
143,66,43,26
128,52,10,9
51,48,2,2
61,43,28,20
102,51,34,19
38,8,14,3
36,21,0,0
92,76,4,3
119,55,32,21
64,13,0,0
86,2,27,1
1364,233,150,150
46,20,2,1
39,29,15,9
52,46,0,0
48,25,0,0
44,42,0,0
66,55,12,9
35,21,1,1
34,20,4,4
29,21,19,15
105,80,0,0
62,46,0,0
41,32,0,0
31,21,9,7
32,19,4,1
50,41,0,0
45,32,0,0
15,15,6,6
35,10,11,7
28,13,18,9
26,15,9,2
62,18,12,7
49,41,3,2
20,4,14,5
56,45,0,0
34,26,1,1
22,17,12,8
32,17,0,0
20,16,12,9
36,26,24,19
41,4,19,4
32,21,0,0
35,3,0,0
20,11,14,4
40,35,0,0
28,22,21,11
78,49,1,1
99,64,2,1
28,19,120,68
32,16,0,0
64,6,14,2
1,1,1968,781
37,25,1,1
34,19,411,223
130,70,0,0
56,40,0,0
11,7,16,12
34,28,0,0
50,34,1,1
89,31,66,15
138,87,0,0
14,9,29,15
83,70,0,0
148,136,0,0
38,31,1,1
25,22,10,10
87,25,0,0
64,47,0,0
82,25,45,13
119,99,1,1
97,14,0,0
63,51,3,3
215,128,2,2
35,19,0,0
28,25,3,3
29,15,28,8
64,40,1,1
63,20,2,2
142,19,35,11
40,16,7,4
41,37,0,0
18,12,13,9
78,44,41,25
35,26,0,0
15,12,15,5
84,32,44,10
64,53,0,0
53,35,0,0
27,11,3,3
49,13,31,11
24,16,110,67
36,18,1,1
46,21,20,9
32,21,8,6
90,77,1,1
33,5,5,2
45,36,13,6
64,32,12,8
48,47,2,1
83,34,32,18
155,133,2,2
150,47,32,13
86,79,0,0
110,101,6,2
39,26,1,1
31,12,0,0
31,30,0,0
77,13,1,1
44,42,0,0
62,28,27,18
166,78,58,38
112,3,5,3
55,24,0,0
193,103,1,1
64,39,2,2
63,56,2,2
39,32,1,1
116,67,6,5
29,20,0,0
32,23,0,0
64,47,0,0
48,17,25,6
34,32,0,0
68,62,0,0
40,34,0,0
73,42,28,17
57,30,14,10
38,26,0,0
9,6,182,99
44,6,6,5
35,20,0,0
45,22,7,2
137,96,0,0
42,28,0,0
48,44,2,2
31,19,1,1
132,55,55,24
85,73,0,0
112,90,0,0
70,63,14,9
72,38,1,1
84,39,0,0
32,29,0,0
61,46,0,0
80,66,9,3
52,35,0,0
30,12,1,1
32,28,11,11
52,39,1,1
85,30,1,1
36,25,2,1
33,16,0,0
57,28,5,4
16,10,12,10
53,36,0,0
92,87,0,0
49,41,0,0
56,45,1,1
82,71,0,0
45,36,6,6
190,86,12,9
30,29,1,1
197,80,12,10
107,76,0,0
75,38,0,0
39,26,0,0
74,43,14,9
63,44,180,113
29,20,5,5
50,35,0,0
35,8,10,1
28,11,29,6
106,52,2,2
38,20,13,8
32,21,14,9
112,56,0,0
63,5,4,2
32,30,0,0
29,29,0,0
100,67,10,7
48,41,0,0
234,108,7,6
44,29,3,3
104,70,0,0
31,27,0,0
41,34,0,0
33,24,0,0
70,60,0,0
24,21,9,8
54,50,1,1
29,24,4,2
48,48,5,5
24,6,13,3
33,28,0,0
14,11,23,22
82,61,6,6
31,28,0,0
57,41,0,0
37,29,89,59
160,47,235,94
41,40,0,0
95,73,1,1
59,38,2,1
79,57,1,1
13,11,17,12
34,31,0,0
108,95,0,0
37,27,0,0
48,40,0,0
103,69,17,9
35,31,1,1
50,38,0,0
44,33,0,0
67,35,0,0
21,3,18,4
36,30,1,1
59,31,1,1
57,30,10,5
10,9,35,19
42,29,9,7
50,42,1,1
51,13,0,0
40,40,3,3
33,23,0,0
46,11,4,3
54,42,2,1
32,19,1,1
210,97,394,222
103,78,60,52
55,36,592,355
41,29,289,144
22,3,14,10
46,33,1327,494
40,25,349,224
82,58,40,34
47,19,32,20
74,19,24,9
30,25,1,1
66,14,8,2
219,19,9,4
88,52,0,0
24,20,16,16
129,112,0,0
30,28,1,1
36,34,2,2
109,26,57,23
51,40,0,0
41,19,7,6
91,24,15,6
34,11,5,2
65,12,13,10
57,17,0,0
59,57,0,0
121,62,0,0
145,53,1,1
29,22,0,0
46,17,41,10
48,34,0,0
49,33,14,5
36,23,1,1
106,83,0,0
37,4,18,4
109,29,0,0
72,7,0,0
36,35,22,16
21,9,20,9
158,51,3,3
22,8,15,10
77,43,27,21
46,40,100,79
42,18,13,8
199,87,3,2
133,71,0,0
106,35,0,0
31,21,0,0
46,33,0,0
68,39,0,0
14,13,91,43
84,60,42,32
35,25,3,2
44,31,31,19
16,11,52,31
117,26,38,15
98,52,57,29
6,6,152,140
202,110,48,39
123,71,637,449
54,15,1516,799
52,23,13,10
48,32,16,11
54,39,2,2
73,64,0,0
28,14,10,8
68,41,0,0
25,16,0,0
34,29,1,1
40,28,0,0
36,24,1,1
72,49,0,0
60,29,0,0
49,33,0,0
58,44,0,0
38,35,0,0
28,8,8,6
25,17,6,3
31,16,17,5
30,24,103,68
21,5,10,6
47,24,17,11
63,60,0,0
195,85,6,1
36,18,4,2
32,21,1,1
43,25,15,12
30,21,1,1
153,74,1,1
73,50,3,3
25,18,0,0
33,23,3,2
97,31,0,0
33,23,1,1
36,31,21,17
38,34,0,0
100,86,0,0
33,17,0,0
52,36,0,0
58,31,0,0
29,26,3,1
60,39,2,1
47,20,59,30
52,48,0,0
53,23,4,3
37,28,0,0
38,18,0,0
228,138,4,3
75,18,0,0
25,19,1,1
234,170,1,1
28,24,0,0
156,115,0,0
50,29,0,0
32,14,0,0
35,34,7,7
121,102,0,0
72,49,3,3
65,24,9,1
65,45,122,61
31,20,0,0
41,26,10,4
41,26,0,0
32,28,0,0
63,41,0,0
56,25,0,0
41,13,0,0
24,15,0,0
82,35,20,14
38,31,17,16
104,61,12,4
62,45,0,0
38,24,6,1
31,28,0,0
100,43,0,0
86,67,2,2
45,37,0,0
61,36,0,0
60,32,4,4
43,38,45,44
27,13,8,5
40,35,0,0
117,95,0,0
54,34,0,0
56,52,4,4
45,27,2,1
79,34,50,31
34,27,0,0
17,12,12,10
61,55,60,47
45,20,18,12
52,25,6,2
74,48,10,4
49,22,21,5
98,92,0,0
72,51,5,5
93,15,26,12
28,23,2,1
44,32,0,0
27,19,4,4
59,47,0,0
51,7,10,6
53,36,3,1
57,49,0,0
65,56,0,0
37,15,20,8
40,20,4,2
57,35,0,0
66,25,0,0
0,0,1796,1137
45,16,2,2
36,26,0,0
82,70,1,1
33,14,12,7
40,24,3,3
99,50,0,0
40,6,13,2
39,12,14,8
38,35,0,0
44,30,1,1
19,16,14,9
522,190,0,0
0,0,34,32
65,33,0,0
41,40,0,0
26,14,6,2
39,18,14,9
25,9,18,15
62,46,2,1
50,16,33,17
114,104,0,0
5,4,51,5
141,49,7,3
2,2,366,256
8,7,342,193
70,66,0,0
32,22,0,0
76,53,1,1
123,86,64,50
128,82,11,9
69,29,1,1
106,58,47,31
186,50,17,6
71,47,0,0
32,26,0,0
33,22,1,1
16,12,247,168
28,21,1,1
74,53,6,5
49,42,3,2
194,129,0,0
18,9,1,1
107,94,0,0
0,0,138,87
26,15,513,261
21,17,98,50
29,16,0,0
102,70,6,6
11,8,292,203
33,22,46,16
40,24,0,0
45,26,1,1
53,46,0,0
23,12,9,4
54,42,0,0
51,37,1,1
132,88,0,0
35,17,8,7
132,94,3,2
42,22,0,0
5,1,2,2
33,22,1,1
35,33,0,0
36,24,1,1
45,34,4,2
9,7,609,429
48,19,0,0
110,4,40,1
166,20,54,7
23,12,10,5
290,122,1,1
27,22,13,13
109,66,0,0
37,19,0,0
54,36,0,0
66,57,0,0
177,90,4,4
59,40,3,3
30,10,23,9
49,24,0,0
78,76,0,0
70,39,0,0
37,27,0,0
34,23,25,15
65,35,24,10
33,31,35,34
28,24,0,0
78,49,0,0
33,26,21,18
20,17,8,7
52,38,0,0
16,6,21,10
31,20,2,2
63,49,1,1
21,16,11,8
32,26,0,0
55,32,2,2
31,25,14,9
192,121,0,0
76,50,0,0
37,22,21,13
7,5,6,1
56,39,27,19
35,30,2,1
72,30,7,3
131,84,36,25
37,20,25,14
64,43,1,1
87,44,0,0
79,35,2,2
83,32,15,7
75,48,46,34
50,46,0,0
37,27,0,0
31,22,0,0
76,40,69,37
44,26,5,1
68,25,0,0
49,38,2,2
42,30,1,1
31,21,0,0
51,21,32,18
127,84,132,27
21,17,17,7
64,25,801,264
83,33,4,4
28,14,7,4
42,35,4,3
23,14,8,4
32,18,6,5
38,11,14,5
41,19,2,2
31,26,9,9
83,56,9,6
127,51,13,7
87,67,42,33
39,25,1,1
24,7,37,23
53,44,0,0
6,6,32,14
53,35,1,1
63,28,62,33
1,1,54,25
2,1,262,134
23,12,51,34
17,15,20,19
42,25,14,6
68,56,36,27
33,23,1,1
42,12,19,12
12,8,2126,1156
215,149,16,9
48,30,138,79
41,36,0,0
30,5,7,1
35,26,0,0
85,38,3,3
82,60,0,0
30,28,4,4
34,28,6,6
28,20,3,3
48,35,62,41
12,12,44,36
2,1,40,3
58,43,0,0
4,4,36,22
4,4,38,9
140,85,172,86
35,27,0,0
83,77,0,0
19,12,25,14
33,3,0,0
38,2,1,1
22,9,9,8
45,41,0,0
14,11,30,18
38,31,0,0
21,19,2366,1526
2,2,78,48
54,40,7,5
33,31,1,1
14,7,35,21
25,18,33,15
25,21,38,31
31,29,0,0
60,46,0,0
8,4,27,8
28,18,63,36
36,33,0,0
87,21,158,81
50,33,1,1
34,26,0,0
2,2,29,19
72,64,0,0
16,8,23,16
11,4,29,5
11,9,33,21
46,42,0,0
110,93,0,0
112,88,0,0
0,0,393,245
1,1,78,52
7,5,4089,1769
0,0,120,97
0,0,1132,564
26,18,1809,1009
4,4,916,412
1,1,1001,655
0,0,57,42
0,0,406,245
0,0,212,156
7,7,193,123
2,2,408,194
1,1,296,186
84,43,160,109
134,48,81,49
52,30,0,0
14,10,327,148
15,8,22,8
36,26,69,55
43,21,8,6
20,16,44,33
13,7,28,12
59,43,1,1
2,2,350,174
47,43,0,0
28,20,66,32
75,31,163,93
39,19,12,7
62,55,2,2
37,22,0,0
82,51,0,0
52,39,34,25
5,3,134,112
70,50,0,0
35,26,0,0
44,39,0,0
138,93,14,9
32,16,0,0
43,38,0,0
71,24,17,12
78,27,0,0
90,48,26,13
9,7,24,19
5,4,1133,776
72,50,126,83
16,9,49,20
55,23,100,65
46,40,0,0
6,5,30,12
35,16,76,22
58,33,145,81
16,9,26,18
71,55,0,0
27,6,90,46
8,7,176,143
34,34,0,0
35,27,0,0
29,15,37,24
12,9,10,5
35,32,0,0
65,51,0,0
36,22,0,0
64,49,0,0
76,41,2,2
46,34,1,1
75,68,0,0
125,84,1,1
45,29,0,0
74,43,0,0
131,100,2,2
65,48,1,1
81,29,2,2
64,42,0,0
54,48,0,0
56,44,0,0
37,24,0,0
31,21,0,0
71,41,0,0
32,18,4,4
34,15,16,9
56,27,0,0
200,110,1,1
34,23,0,0
32,30,0,0
43,26,12,11
102,72,5,5
61,56,1,1
22,21,7,7
55,22,40,6
49,27,21,12
40,27,1,1
24,3,27,2
132,33,8,5
48,43,0,0
86,46,70,45
40,14,18,9
29,28,1,1
47,1,15,1
22,16,14,10
110,21,62,13
106,100,0,0
78,41,40,23
75,16,11,9
56,20,0,0
31,15,1,1
164,70,91,33
96,87,0,0
113,51,2,2
38,33,0,0
57,23,13,9
13,4,3,3
49,43,0,0
44,37,4,3
50,46,0,0
49,37,0,0
58,53,0,0
36,30,3,2
61,54,1,1
38,36,0,0
154,98,5,5
31,25,5,5
188,10,69,4
79,34,0,0
30,24,1,1
40,34,0,0
52,37,1,1
67,44,20,13
62,48,0,0
96,49,6,2
69,48,0,0
25,19,13,11
29,21,8,6
55,31,17,13
49,30,10,7
23,7,11,3
105,36,61,20
36,17,0,0
33,7,19,4
144,76,1,1
56,23,1,1
66,38,0,0
48,29,0,0
44,31,2,2
164,57,6,5
46,6,10,3
40,36,0,0
47,36,27,17
53,29,28,18
53,26,2,2
40,28,13,10
28,21,8,7
80,52,24,18
32,23,0,0
58,24,48,14
30,13,13,4
67,40,29,15
35,23,4,4
40,13,21,7
29,15,10,8
61,39,3,2
35,20,0,0
30,25,0,0
160,55,2,2
44,41,0,0
43,21,2,1
163,11,1,1
19,1,13,1
73,26,3,3
51,36,0,0
149,42,263,151
26,15,12,11
44,15,3,1
58,50,0,0
109,82,2,1
268,176,2,2
129,114,0,0
33,17,0,0
86,63,0,0
31,29,0,0
51,42,20,19
128,75,4,3
42,33,0,0
34,26,1,1
75,18,0,0
177,58,67,9
76,42,0,0
40,32,0,0
53,11,16,8
76,30,0,0
40,20,40,26
47,42,0,0
45,28,0,0
27,21,19,16
160,106,2,2
39,35,0,0
37,35,0,0
46,41,0,0
35,24,0,0
34,30,0,0
48,15,0,0
28,20,6,6
37,21,93,78
31,7,0,0
22,12,21,9
28,20,44,31
42,35,0,0
42,32,0,0
31,27,0,0
159,64,1,1
82,62,0,0
41,23,0,0
84,19,0,0
31,21,0,0
57,37,0,0
60,39,0,0
14,13,11,8
67,22,0,0
34,22,0,0
30,22,13,11
8,5,638,394
61,43,0,0
97,54,3,3
37,35,0,0
37,5,43,1
64,9,0,0
48,37,0,0
35,28,3,2
31,28,2,1
33,13,6,4
73,24,13,6
81,59,0,0
50,6,0,0
46,27,8,8
92,76,0,0
47,17,9,3
21,5,13,12
85,27,1,1
86,34,1,1
151,69,1,1
47,19,42,18
25,22,7,6
42,39,0,0
119,65,1,1
47,42,0,0
21,3,20,2
62,35,26,20
123,46,0,0
105,28,4,3
63,52,1,1
44,31,11,9
22,15,22,15
10,7,95,72
79,47,2,2
2,2,534,330
39,25,0,0
0,0,742,453
113,29,190,27
46,25,0,0
51,18,17,7
80,55,46,27
141,63,3,3
75,37,43,18
60,44,0,0
24,15,12,7
33,9,1,1
29,27,1,1
28,5,3,1
33,25,2,2
102,41,1,1
38,30,0,0
46,14,19,7
117,30,55,10
4,3,189,116
17,9,11,10
106,65,49,25
32,24,8,5
44,15,18,6
16,9,73,52
44,30,0,0
29,23,19,17
32,26,6,4
49,14,52,22
32,30,1,1
41,24,1,1
37,31,0,0
51,40,0,0
44,32,1,1
143,116,1,1
60,46,2,2
39,23,15,9
65,29,27,15
91,37,0,0
44,16,0,0
28,16,7,5
50,32,22,13
21,9,9,8
36,29,0,0
24,16,7,5
38,29,2,2
105,43,56,24
76,12,7,4
36,35,0,0
47,24,1,1
23,6,12,3
17,17,19,17
38,10,2602,519
40,37,1,1
79,25,0,0
45,19,0,0
215,10,47,9
23,4,17,5
38,2,29,2
63,32,0,0
45,30,0,0
49,42,1,1
30,29,0,0
32,23,0,0
34,29,0,0
40,22,1,1
31,25,0,0
89,51,1,1
102,83,0,0
53,14,3,3
64,43,65,51
31,29,1,1
41,22,0,0
95,45,2,1
13,13,262,203
32,15,1,1
8,3,1147,704
29,29,0,0
27,16,0,0
53,19,28,14
71,35,40,17
44,30,18,15
60,34,18,18
5,5,266,207
19,6,12,2
43,21,11,10
39,13,10,4
33,4,33,9
33,19,5,5
37,20,19,13
286,56,189,33
92,45,10,7
135,75,4,3
33,27,1,1
33,18,28,22
64,34,0,0
23,21,16,13
82,30,24,7
168,141,1,1
49,45,10,10
63,33,1,1
51,30,0,0
48,25,3,3
279,163,5,2
24,12,4,4
86,50,0,0
31,19,0,0
108,61,26,19
183,101,6,2
12,7,20,4
41,19,7,7
36,7,0,0
52,34,2,2
58,44,7,6
37,28,0,0
87,75,0,0
86,47,3,3
31,29,2,2
33,18,15,8
126,62,33,14
52,17,27,12
15,8,27,18
100,52,4,2
45,34,0,0
103,48,8,5
113,72,0,0
37,34,0,0
13,12,144,96
21,5,17,1
35,10,19,7
61,35,0,0
78,70,0,0
6,6,39,32
31,21,0,0
38,19,1984,916
7,5,28,20
49,30,14,8
46,32,10,7
233,161,20,16
55,30,2,2
43,41,11,11
19,8,40,33
105,53,3,3
31,22,0,0
27,20,4,4
74,38,2,2
48,37,0,0
30,27,22,18
50,41,1,1
30,24,2,1
31,24,2,2
29,16,4,3
65,13,31,9
32,30,1,1
33,28,0,0
34,26,0,0
43,36,14,14
34,31,0,0
29,22,0,0
19,14,40,25
12,7,25,19
51,36,5,5
65,38,0,0
57,24,2,2
38,17,7,7
23,11,24,5
26,15,7,5
39,25,7,6
38,26,5,2
39,23,17,11
40,17,11,8
48,25,0,0
100,61,2,1
131,75,0,0
56,40,0,0
130,42,0,0
35,27,0,0
0,0,227,122
72,37,32,24
94,75,0,0
46,38,0,0
31,26,0,0
84,52,0,0
91,81,0,0
90,41,1,1
30,29,1,1
62,32,1,1
168,80,3,2
59,48,24,22
79,15,259,158
20,13,15,10
53,13,18,4
28,26,3,3
17,14,42,29
56,52,0,0
40,24,0,0
69,49,0,0
33,20,0,0
13,6,48,31
59,26,1984,988
90,65,0,0
48,22,0,0
155,113,3,1
0,0,97,75
40,25,0,0
33,19,2,1
42,17,2,1
84,41,1,1
10,4,25,11
35,12,2,1
19,10,19,4
33,21,17,8
1,1,44,25
55,14,16,9
1,1,189,168
14,11,11,8
51,22,0,0
92,41,48,19
87,33,21,13
30,23,0,0
15,12,198,135
28,18,30,14
24,13,6,5
50,28,0,0
2,2,40,36
31,20,1,1
122,50,1,1
32,14,9,2
64,59,0,0
82,20,0,0
67,35,0,0
1,1,126,74
22,14,14,8
68,17,9,8
33,17,0,0
18,7,13,2
35,11,5,3
30,26,0,0
51,25,0,0
37,28,0,0
680,669,0,0
30,18,0,0
33,30,0,0
55,29,0,0
22,19,10,9
63,37,0,0
41,31,0,0
53,52,0,0
42,28,0,0
92,34,1,1
40,34,1,1
81,60,0,0
70,26,0,0
61,53,1,1
33,32,1,1
50,47,12,9
12,10,174,113
532,496,104,69
50,41,0,0
61,57,0,0
53,49,11,11
20,17,8,8
39,34,7,5
38,36,0,0
92,64,0,0
40,37,0,0
76,69,0,0
55,48,0,0
34,27,1,1
0,0,42,38
41,36,3,2
32,24,1,1
28,20,6,4
81,37,2,1
80,72,0,0
86,56,0,0
52,25,3,1
22,17,11,9
39,35,4,4
48,41,1,1
43,36,0,0
69,54,0,0
24,23,16,14
56,37,0,0
82,75,15,10
32,22,1,1
136,49,14,5
55,7,8,4
91,41,5,2
17,7,19,8
87,56,0,0
39,10,0,0
48,27,0,0
21,21,39,37
34,18,0,0
31,29,0,0
87,52,29,19
42,32,4,3
60,11,4,2
37,29,0,0
161,23,18,6
37,7,8,2
34,13,4,4
58,28,126,71
38,19,19,11
32,24,0,0
24,11,6,6
74,40,89,50
53,42,7,7
39,21,34,15
61,13,49,14
22,6,13,5
26,8,5,3
5,4,208,153
115,69,9,4
37,3,14,2
82,73,0,0
78,34,0,0
60,28,33,15
126,55,2,2
27,22,2,2
89,42,0,0
102,48,144,66
30,21,1,1
19,13,2,1
32,26,2,2
44,5,15,2
50,27,2,2
36,29,0,0
51,33,3,3
32,30,0,0
76,63,0,0
39,26,0,0
67,25,11,11
34,32,0,0
34,34,0,0
34,33,4,4
40,3,0,0
31,14,14,7
35,17,45,31
189,121,33,1
37,29,0,0
134,52,1,1
35,31,2,2
41,37,0,0
13,10,16,13
48,39,160,104
61,47,4,4
50,47,12,8
56,55,1,1
28,27,2,2
45,3,8,2
23,12,8,5
283,57,167,40
53,42,4,4
61,37,3,2
30,25,14,13
32,21,0,0
105,71,19,16
28,9,5,4
43,9,0,0
66,16,10,3
21,6,25,9
100,35,0,0
89,13,14,3
39,21,0,0
52,28,0,0
84,71,0,0
58,51,0,0
31,26,0,0
39,37,15,15
109,94,1,1
27,21,4,2
34,31,0,0
29,23,24,16
29,25,8,7
129,29,35,15
72,69,19,19
37,30,0,0
79,33,2,2
39,20,11,6
181,34,1,1
46,34,0,0
49,27,0,0
58,53,0,0
57,50,0,0
79,36,5,4
39,29,12,7
42,40,0,0
155,15,0,0
32,7,17,5
45,38,2,2
45,20,3,2
39,32,2,2
94,48,2,2
34,23,5,5
46,29,0,0
61,50,0,0
63,28,6,4
39,33,0,0
72,61,6,4
36,26,7,1
