TF1,DF1,TF2,DF2
1006,446,123,84
33,25,0,0
26,23,1,1
462,244,6,3
2438,1394,14,9
498,382,8,7
136,68,1,1
486,292,35,27
1138,530,38,29
384,257,4,4
139,115,1,1
989,336,11,11
28,27,0,0
71,38,0,0
482,310,0,0
187,116,0,0
466,302,1,1
766,582,0,0
72,52,0,0
1363,726,16,16
404,318,1,1
59,50,1,1
143,63,0,0
5350,1970,20,12
715,401,2,1
98,80,0,0
257,152,8,4
146,104,0,0
144,76,0,0
180,104,0,0
49,37,1,1
501,223,4,3
3018,1606,2,1
45,26,0,0
66,33,0,0
187,106,9,8
708,460,2,1
64,41,0,0
202,152,0,0
36,34,0,0
27,19,3,3
174,101,26,19
414,254,0,0
1081,606,17,14
136,74,19,16
42,30,38,26
237,184,0,0
51,41,0,0
30,23,1,1
165,105,1,1
184,139,0,0
204,97,6,2
1435,731,54,40
625,403,1,1
66,55,0,0
18,16,11,10
28,12,7,5
670,454,0,0
162,96,2,2
209,185,106,91
305,207,2,1
374,256,0,0
634,491,9,8
489,220,19,11
185,95,7,4
53,38,37,25
728,404,278,168
193,126,0,0
276,238,86,82
378,255,0,0
96,75,0,0
48,38,0,0
74,56,0,0
99,78,0,0
145,86,1,1
232,179,0,0
687,365,4,4
76,58,0,0
1629,732,21,16
950,528,3,2
2064,1204,4,4
33,33,0,0
90,74,0,0
710,190,1,1
74,47,1,1
267,153,18,13
61,47,34,33
208,126,9,5
507,355,3,2
509,284,5,3
74,41,2,2
72,59,41,36
285,212,0,0
1617,962,1,1
954,505,46,16
2453,663,1,1
400,318,336,274
31,19,2,1
2680,1053,369,267
183,145,0,0
1084,690,0,0
1279,642,1,1
410,280,0,0
171,136,0,0
76,46,3,3
3000,1372,9,5
351,218,3,2
864,432,13,11
117,85,0,0
130,117,1,1
96,63,3,3
651,412,5,2
242,142,2,2
121,80,0,0
454,220,31,16
983,447,6,6
147,128,0,0
34,8,5,2
2710,1662,0,0
176,150,0,0
109,82,2,2
327,211,0,0
1378,490,29,17
1117,762,5,3
713,384,347,242
1805,1096,25,13
90,75,0,0
1201,610,5,5
425,263,19,12
294,247,0,0
980,609,34,23
480,383,0,0
102,82,0,0
504,298,26,25
128,63,1,1
2303,968,8,6
1782,650,274,125
203,145,0,0
170,149,1,1
726,390,23,10
3695,1383,82,44
1449,852,46,18
1867,1119,58,33
42,36,0,0
1142,503,80,63
32,27,0,0
238,146,1,1
3327,1677,3,3
44,4,0,0
1905,1109,2,1
35,26,0,0
250,142,0,0
148,125,0,0
1658,875,6,6
98,43,0,0
31,14,0,0
70,64,2,1
42,18,0,0
72,48,2,2
45,41,0,0
680,273,315,144
175,116,4,4
3872,1849,7,6
408,281,0,0
35,34,0,0
713,535,1,1
134,41,0,0
313,182,3,2
742,362,92,58
3557,1395,20,19
1652,1025,0,0
393,255,1,1
860,357,47,27
52,37,1,1
181,116,1,1
340,265,1,1
61,43,0,0
802,609,2,2
164,145,0,0
880,399,134,48
449,295,0,0
385,286,8,5
241,197,0,0
765,469,7,7
853,467,2,1
62,34,1,1
125,37,22,14
664,369,21,17
656,304,1,1
171,147,4,2
6283,1876,12,3
380,281,0,0
58,40,1,1
43,27,23,12
1178,523,568,310
676,459,1,1
583,460,0,0
33,30,0,0
889,778,0,0
85,41,52,28
118,55,0,0
801,358,22,14
212,181,2,2
123,106,0,0
3697,1814,23,17
1060,809,2,2
235,177,2,2
572,297,7,2
99,83,0,0
232,165,119,94
48,40,18,15
1202,602,0,0
3200,587,32,27
1447,515,12,11
1462,940,895,644
316,211,193,135
91,51,1,1
355,145,4,2
99,62,0,0
48,40,0,0
178,152,0,0
163,109,32,21
299,169,2,1
2842,1011,59,41
16,11,1,1
83,68,24,23
655,350,32,17
188,146,123,99
737,271,0,0
730,527,8,7
1684,884,147,82
946,622,54,28
952,286,74,31
95,88,0,0
126,77,2,2
361,154,7,6
219,154,3,3
258,192,2,2
339,140,26,22
109,69,0,0
1061,563,10,8
256,171,11,6
99,70,0,0
133,102,6,1
134,112,0,0
308,253,3,3
209,151,4,3
141,118,0,0
661,423,17,4
1224,849,827,621
401,142,0,0
410,340,0,0
793,568,2,2
426,204,0,0
2084,1056,1046,622
161,105,0,0
88,68,0,0
17,11,16,8
3803,531,39,29
192,96,5,4
31,17,25,14
2898,545,58,34
17,8,9,6
97,67,64,37
3284,1038,1,1
152,114,1,1
1338,443,32,21
525,216,14,13
281,215,0,0
897,272,484,186
53,17,34,7
318,183,50,30
1433,570,47,32
2186,838,256,144
187,129,0,0
290,247,2,2
43,27,32,27
97,52,46,32
766,550,473,368
374,180,45,25
369,189,75,39
2572,1074,22,17
143,67,38,28
381,165,0,0
790,403,129,92
3130,1038,255,150
129,94,16,12
48,41,0,0
1034,639,0,0
596,355,23,12
99,32,23,20
822,612,0,0
1148,674,13,7
275,129,69,31
680,485,5,4
244,133,0,0
2931,1295,1781,947
938,531,0,0
87,79,0,0
527,299,2,2
42,21,5,5
720,486,11,5
64,43,0,0
952,366,1,1
43,24,10,6
1175,475,158,104
40,32,0,0
1034,683,0,0
690,541,489,392
